morphology,replication,time_idx,wcc
sustained,0,0,0.49870236767524506
sustained,0,1,0.535399591569175
sustained,0,2,0.5429870996696124
sustained,0,3,0.4768724932521558
sustained,0,4,0.4931042871244658
sustained,0,5,0.5500491299960235
sustained,0,6,0.47002525647557275
sustained,0,7,0.5419024464718737
sustained,0,8,0.4649550998152995
sustained,0,9,0.5606192979353611
sustained,0,10,0.4073541357934936
sustained,0,11,0.4562237354646114
sustained,0,12,0.4521568524284094
sustained,0,13,0.5357160379674181
sustained,0,14,0.5269823791829006
sustained,0,15,0.556330554191623
sustained,0,16,0.4392498384073217
sustained,0,17,0.5021963381503005
sustained,0,18,0.5255399510257119
sustained,0,19,0.5143375243384762
sustained,0,20,0.40341185054568646
sustained,0,21,0.5015323228242786
sustained,0,22,0.5111143519565517
sustained,0,23,0.4994088307876489
sustained,0,24,0.49336573501105024
sustained,0,25,0.5457397282045038
sustained,0,26,0.5264665372939613
sustained,0,27,0.48931769669192887
sustained,0,28,0.4627617644433914
sustained,0,29,0.5580565495365548
sustained,0,30,0.45012244658357814
sustained,0,31,0.6078801356206074
sustained,0,32,0.4348693800389102
sustained,0,33,0.45906056500157316
sustained,0,34,0.3769153372456302
sustained,0,35,0.48927932930536044
sustained,0,36,0.49684477441762587
sustained,0,37,0.543537033316029
sustained,0,38,0.5364519716645949
sustained,0,39,0.41215809088335104
sustained,0,40,0.5404245973447483
sustained,0,41,0.4882252450452765
sustained,0,42,0.5464731899539459
sustained,0,43,0.3960212719633256
sustained,0,44,0.5528492502874637
sustained,0,45,0.6206262042210897
sustained,0,46,0.5375297006746464
sustained,0,47,0.5450551034141494
sustained,0,48,0.5894863030026001
sustained,0,49,0.4835097274556814
sustained,0,50,0.5818937581605472
sustained,0,51,0.5576739153766002
sustained,0,52,0.5234080423279076
sustained,0,53,0.4702043888177428
sustained,0,54,0.4853437669250197
sustained,0,55,0.4446172326184525
sustained,0,56,0.5003334544674998
sustained,0,57,0.5596163292871188
sustained,0,58,0.5544198825271772
sustained,0,59,0.45200795266773436
sustained,0,60,0.46920891391683867
sustained,0,61,0.6015157135960431
sustained,0,62,0.46102587846851195
sustained,0,63,0.4904307519658853
sustained,0,64,0.4149604271604788
sustained,0,65,0.42356728476912764
sustained,0,66,0.42971258601847057
sustained,0,67,0.5340290018517114
sustained,0,68,0.5707303899939292
sustained,0,69,0.5127085407689826
sustained,0,70,0.48514347776587385
sustained,0,71,0.5288273180535291
sustained,0,72,0.5098185408655636
sustained,0,73,0.4688261517738849
sustained,0,74,0.42919994323789484
sustained,0,75,0.5243183528316641
sustained,0,76,0.4901463862174229
sustained,0,77,0.573183108210789
sustained,0,78,0.5072366316889041
sustained,0,79,0.5212571239670033
sustained,0,80,0.45070286845409624
sustained,0,81,0.48244810882655637
sustained,0,82,0.5406886964536064
sustained,0,83,0.5529308586131251
sustained,0,84,0.5535303464801758
sustained,0,85,0.449527265632602
sustained,0,86,0.4626856827781319
sustained,0,87,0.42214895563791444
sustained,0,88,0.553595153325987
sustained,0,89,0.6189771221432026
sustained,0,90,0.4247542078772454
sustained,0,91,0.46437379073712276
sustained,0,92,0.5186888287498512
sustained,0,93,0.5485386002113467
sustained,0,94,0.4837238058322883
sustained,0,95,0.49826696969973444
sustained,0,96,0.4191621193069384
sustained,0,97,0.5119992559444515
sustained,0,98,0.49755046711468676
sustained,0,99,0.5376854904298921
sustained,0,100,0.5027698597241098
sustained,0,101,0.49904780895406664
sustained,0,102,0.5191355850008434
sustained,0,103,0.35450218769765657
sustained,0,104,0.5462414433185626
sustained,0,105,0.4696477162677524
sustained,0,106,0.47379131774602884
sustained,0,107,0.5216462434250864
sustained,0,108,0.5366029611051282
sustained,0,109,0.46804245798710703
sustained,0,110,0.4786552377916793
sustained,0,111,0.47684171274577036
sustained,0,112,0.542505165554987
sustained,0,113,0.4719544068897223
sustained,0,114,0.4484688949338512
sustained,0,115,0.4622044493332187
sustained,0,116,0.5671542217916354
sustained,0,117,0.5808961902823752
sustained,0,118,0.45490281227018764
sustained,0,119,0.5035822813739195
sustained,0,120,0.5565808346765081
sustained,0,121,0.533585374041253
sustained,0,122,0.42077271090666907
sustained,0,123,0.5186958228511477
sustained,0,124,0.4869542194058992
sustained,0,125,0.4857913887331951
sustained,0,126,0.5617647752797653
sustained,0,127,0.47280518767753427
sustained,0,128,0.5708059314957705
sustained,0,129,0.43925710315271527
sustained,0,130,0.42157790183451416
sustained,0,131,0.5548675511110799
sustained,0,132,0.41859262899203403
sustained,0,133,0.46217217201619626
sustained,0,134,0.4726135074960238
sustained,0,135,0.5352410514335004
sustained,0,136,0.4901044553622888
sustained,0,137,0.4904432936196226
sustained,0,138,0.4502982080066382
sustained,0,139,0.5150467496259985
sustained,0,140,0.5193681173563697
sustained,0,141,0.5105041521348767
sustained,0,142,0.4912674648883026
sustained,0,143,0.4833082714297488
sustained,0,144,0.496355919086587
sustained,0,145,0.5259545295610016
sustained,0,146,0.46773940133429653
sustained,0,147,0.39266257515470143
sustained,0,148,0.5519941358467259
sustained,0,149,0.5108453847893468
sustained,0,150,0.4908194540030338
sustained,0,151,0.5125598037677708
sustained,0,152,0.5083881417363506
sustained,0,153,0.5400656029859023
sustained,0,154,0.5263058222789441
sustained,0,155,0.4894284328812423
sustained,0,156,0.5037870350151489
sustained,0,157,0.550205234270445
sustained,0,158,0.503881123324022
sustained,0,159,0.43751102005728987
sustained,0,160,0.5206069146936481
sustained,0,161,0.5303721843529199
sustained,0,162,0.4653722851920299
sustained,0,163,0.42346899131993715
sustained,0,164,0.43113133975468
sustained,0,165,0.4865269523569143
sustained,0,166,0.5300190499613037
sustained,0,167,0.6736081653170788
sustained,0,168,0.3941687136896924
sustained,0,169,0.5293943000444996
sustained,0,170,0.5433799400094274
sustained,0,171,0.5374225008030797
sustained,0,172,0.5239098649404883
sustained,0,173,0.5139403314734257
sustained,0,174,0.517106010971111
sustained,0,175,0.5136188184903112
sustained,0,176,0.5281683802305619
sustained,0,177,0.5656768698544129
sustained,0,178,0.440849497959764
sustained,0,179,0.5381111889689751
sustained,0,180,0.4883342029630588
sustained,0,181,0.49204092173104863
sustained,0,182,0.5571629741661523
sustained,0,183,0.42280090936169823
sustained,0,184,0.5649484919969872
sustained,0,185,0.530288738664547
sustained,0,186,0.4153946204805033
sustained,0,187,0.5125588056971324
sustained,0,188,0.4230206399180602
sustained,0,189,0.5401012200002027
sustained,0,190,0.48883599339422673
sustained,0,191,0.4927337391689427
sustained,0,192,0.5787084772405752
sustained,0,193,0.5243516176457507
sustained,0,194,0.4768729235964042
sustained,0,195,0.40530496233746227
sustained,0,196,0.5391464320721658
sustained,0,197,0.5343036467511856
sustained,0,198,0.5410244911718226
sustained,0,199,0.5105745170338868
sustained,0,200,0.5292927593062704
sustained,0,201,0.5604445188553826
sustained,0,202,0.47643236717601006
sustained,0,203,0.5477942039917125
sustained,0,204,0.4221749666957882
sustained,0,205,0.550071208267211
sustained,0,206,0.5036170040394595
sustained,0,207,0.5419712306290567
sustained,0,208,0.5224922620622057
sustained,0,209,0.43793342555933096
sustained,0,210,0.5461831787278906
sustained,0,211,0.5194370508525361
sustained,0,212,0.4357943090837858
sustained,0,213,0.4500998715436538
sustained,0,214,0.4007198857650414
sustained,0,215,0.5605539447198088
sustained,0,216,0.4914523961025954
sustained,0,217,0.5514758765371846
sustained,0,218,0.4677529245797162
sustained,0,219,0.5501291790898556
sustained,0,220,0.44356282939490965
sustained,0,221,0.5009741538289637
sustained,0,222,0.5467065745962905
sustained,0,223,0.6011663606130818
sustained,0,224,0.45901462873242677
sustained,0,225,0.5166635816495853
sustained,0,226,0.535995216970198
sustained,0,227,0.6171962607905701
sustained,0,228,0.3714583590795185
sustained,0,229,0.5201353042250706
sustained,0,230,0.4143064858233998
sustained,0,231,0.5287769006180388
sustained,0,232,0.5108821226450324
sustained,0,233,0.5469403848641524
sustained,0,234,0.5452067671380101
sustained,0,235,0.4811062208111371
sustained,0,236,0.5008436926244374
sustained,0,237,0.5620884731096221
sustained,0,238,0.5217770208299468
sustained,0,239,0.4892406876407578
sustained,0,240,0.49070372228383224
sustained,0,241,0.4247419547899011
sustained,0,242,0.4934060752031056
sustained,0,243,0.47168025827046617
sustained,0,244,0.5589562270870345
sustained,0,245,0.4970944215281497
sustained,0,246,0.4657818819115812
sustained,0,247,0.4897918145843167
sustained,0,248,0.47914253237784427
sustained,0,249,0.5672356144125423
sustained,0,250,0.45714066978813167
sustained,0,251,0.45252705725069664
sustained,0,252,0.46159615920422964
sustained,0,253,0.564679521299901
sustained,0,254,0.5065177259033296
sustained,0,255,0.4806270440937622
sustained,0,256,0.6382624256534135
sustained,0,257,0.5033697503431479
sustained,0,258,0.4589781370524851
sustained,0,259,0.5242014634973857
sustained,0,260,0.4932876722119694
sustained,0,261,0.5282374536190094
sustained,0,262,0.49951949755730013
sustained,0,263,0.45098005206296155
sustained,0,264,0.5882529702235524
